Distance (Km), Key rate (bit/s)
10.00000000,0.00011064
24.32078021,0.00005620
30.25264159,0.00004150
34.80431892,0.00003572
38.64156042,0.00003010
42.02223804,0.00002460
45.07860423,0.00002154
47.88922301,0.00001888
50.50528319,0.00001759
52.96234062,0.00001494
55.28628333,0.00001401
57.49665465,0.00001134
59.60863785,0.00001084
61.63430734,0.00001002
63.58345305,0.00000891
65.46414325,0.00000853
67.28312083,0.00000875
69.04608944,0.00000753
70.75792478,0.00000771
72.42283372,0.00000633
74.04447607,0.00000529
75.62605931,0.00000510
77.17041318,0.00000488
78.68004916,0.00000461
80.15720846,0.00000430
81.60390104,0.00000418
83.02193773,0.00000333
84.41295677,0.00000445
85.77844602,0.00000406
87.11976159,0.00000327
88.43814361,0.00000262
89.73472969,0.00000252
91.01056638,0.00000279
92.26661905,0.00000216
93.50378049,0.00000212
94.72287827,0.00000214
95.92468125,0.00000261
97.10990525,0.00000213
98.27921805,0.00000179
99.43324373,0.00000191
100.57256666,0.00000161
101.69773485,0.00000161
102.80926313,0.00000143
103.90763583,0.00000171
104.99330931,0.00000148
106.06671411,0.00000112
107.12825699,0.00000105
108.17832271,0.00000137
109.21727570,0.00000133
110.24546146,0.00000090
111.26320797,0.00000121
112.27082690,0.00000107
113.26861469,0.00000095
114.25685361,0.00000080
115.23581268,0.00000110
116.20574851,0.00000070
117.16690610,0.00000063
118.11951955,0.00000095
119.06381276,0.00000061
120.00000000,0.00000042
