#{
#  "Iterations": 100,
#  "N": 1000000,
#  "mu": 0.5,
#  "decoy_intensities": [
#    0.1,
#    0.0
#  ],
#  "decoy_rate": 0.3,
#  "channel_properties": {
#    "beta": 0.2
#  },
#  "detector_properties": {
#    "receiver_transmit": 0.013,
#    "detector_efficiency": 0.2,
#    "detector_error": 0.03,
#    "dark_count_rate": 4e-09,
#    "dark_count_error": 0.5
#  },
#  "error_correction_efficiency": 1.0,
#  "debug": false,
#  "time": "2026/04/10 - 12:40:20"
#}
#---
Distance (Km), Key rate (1/s)
10.00000000,0.00009489
43.80525009,0.00002324
54.60629492,0.00000882
62.46052772,0.00000867
68.85835901,0.00000776
74.35349748,0.00001266
79.22208133,0.00000769
83.62467135,0.00000493
87.66407033,0.00000416
91.41063775,0.00000401
94.91494901,0.00000422
98.21475397,0.00000175
101.33908392,0.00000188
104.31081417,0.00000155
107.14833627,0.00000146
109.86669023,0.00000116
112.47835519,0.00000093
114.99381630,0.00000413
117.42198054,0.00000162
119.77048765,0.00000156
122.04594696,0.00000039
124.25412036,0.00000000
126.40006571,0.00000062
128.48825063,0.00000071
130.52264380,0.00000051
132.50678894,0.00000051
134.44386537,0.00000193
136.33673787,0.00000000
138.18799823,0.00000079
140.00000000,0.00000056
